Return_ID,Order_ID,Return_Date,Return_Reason,Return_Status
RET00092,ORD001154,2026-01-29,Better Price Found,Processing
RET00093,ORD001162,2026-04-20,Defective Product,Processing
RET00094,ORD001165,2026-02-21,Changed Mind,Processing
RET00095,ORD001173,2025-12-30,Better Price Found,Approved
RET00096,ORD001174,2025-08-20,Wrong Item Delivered,Processing
RET00097,ORD001184,2025-11-25,Defective Product,Approved
RET00098,ORD001215,2025-08-17,Wrong Item Delivered,Approved
RET00099,ORD001223,2026-03-27,Late Delivery,Processing
RET00100,ORD001244,2025-09-02,Late Delivery,Processing
RET00101,ORD001262,2025-08-23,Wrong Item Delivered,Rejected
RET00102,ORD001269,2025-08-22,Better Price Found,Approved
RET00103,ORD001284,2026-06-07,Changed Mind,Rejected
RET00104,ORD001303,2026-07-30,Not as Described,Processing
RET00105,ORD001309,2026-06-02,Not as Described,Approved
RET00106,ORD001311,2026-07-16,Defective Product,Approved
RET00107,ORD001314,2025-10-18,Defective Product,Rejected
RET00108,ORD001317,2026-03-13,Size Issue,Processing
RET00109,ORD001323,2026-01-11,Better Price Found,Rejected
RET00110,ORD001328,2025-11-19,Changed Mind,Rejected
RET00111,ORD001372,2025-11-13,Size Issue,Processing
RET00112,ORD001374,2026-03-22,Wrong Item Delivered,Approved
RET00113,ORD001376,2026-03-03,Size Issue,Rejected
RET00114,ORD001380,2026-06-23,Not as Described,Approved
RET00115,ORD001394,2025-11-15,Changed Mind,Processing
RET00116,ORD001395,2026-04-01,Size Issue,Processing
RET00117,ORD001397,2026-05-22,Defective Product,Rejected
RET00118,ORD001415,2025-09-17,Not as Described,Approved
RET00119,ORD001428,2025-08-15,Size Issue,Approved
RET00120,ORD001433,2026-03-12,Not as Described,Processing
RET00121,ORD001440,2026-05-20,Better Price Found,Approved
RET00122,ORD001520,2025-07-21,Changed Mind,Processing
RET00123,ORD001522,2026-04-19,Better Price Found,Approved
RET00124,ORD001530,2026-06-16,Size Issue,Rejected
RET00125,ORD001533,2025-10-06,Wrong Item Delivered,Approved
RET00126,ORD001538,2026-05-25,Changed Mind,Processing
RET00127,ORD001549,2025-07-08,Size Issue,Processing
RET00128,ORD001550,2026-02-01,Better Price Found,Rejected
RET00129,ORD001551,2026-07-31,Defective Product,Rejected
RET00130,ORD001553,2025-08-30,Defective Product,Processing
RET00131,ORD001566,2025-11-01,Size Issue,Processing
RET00132,ORD001574,2026-06-09,Wrong Item Delivered,Processing
RET00133,ORD001582,2025-10-19,Not as Described,Rejected
RET00134,ORD001590,2026-04-02,Wrong Item Delivered,Processing
RET00135,ORD001592,2026-07-08,Changed Mind,Rejected
RET00136,ORD001598,2026-07-14,Defective Product,Rejected
RET00137,ORD001610,2026-05-03,Defective Product,Rejected
RET00138,ORD001611,2026-02-01,Better Price Found,Processing
RET00139,ORD001649,2026-02-23,Size Issue,Approved
RET00140,ORD001665,2025-09-01,Changed Mind,Rejected
RET00141,ORD001681,2025-08-10,Size Issue,Approved
RET00142,ORD001707,2025-12-26,Not as Described,Approved
RET00143,ORD001715,2026-06-21,Wrong Item Delivered,Processing
RET00144,ORD001727,2025-11-07,Wrong Item Delivered,Processing
RET00145,ORD001757,2026-04-16,Changed Mind,Approved
RET00146,ORD001761,2026-05-01,Late Delivery,Rejected
RET00147,ORD001808,2025-08-27,Changed Mind,Approved
RET00148,ORD001818,2026-05-24,Defective Product,Rejected
RET00149,ORD001827,2025-12-29,Defective Product,Rejected
RET00150,ORD001843,2025-07-15,Not as Described,Rejected
RET00151,ORD001848,2025-09-01,Late Delivery,Processing
RET00152,ORD001852,2025-09-12,Changed Mind,Rejected
RET00153,ORD001879,2025-07-21,Wrong Item Delivered,Processing
RET00154,ORD001886,2025-10-01,Changed Mind,Processing
RET00155,ORD001895,2025-08-13,Changed Mind,Processing
RET00156,ORD001899,2025-11-17,Not as Described,Approved
RET00157,ORD001915,2025-11-04,Changed Mind,Approved
RET00158,ORD001927,2026-03-28,Wrong Item Delivered,Approved
RET00159,ORD001930,2025-12-29,Not as Described,Rejected
RET00160,ORD001932,2026-05-17,Wrong Item Delivered,Approved
RET00161,ORD001935,2026-01-17,Defective Product,Approved
RET00162,ORD001951,2026-02-21,Late Delivery,Processing
RET00163,ORD001956,2026-04-08,Late Delivery,Rejected
RET00164,ORD001967,2026-02-13,Not as Described,Approved
RET00165,ORD001972,2026-07-27,Better Price Found,Processing
RET00166,ORD001984,2026-04-09,Changed Mind,Processing
RET00167,ORD001989,2025-11-05,Wrong Item Delivered,Processing
RET00168,ORD002000,2026-01-29,Size Issue,Rejected
RET00169,ORD002003,2026-05-01,Changed Mind,Rejected
RET00170,ORD002006,2026-01-29,Better Price Found,Approved
RET00171,ORD002022,2026-05-27,Changed Mind,Processing
RET00172,ORD002030,2026-03-19,Better Price Found,Rejected
RET00173,ORD002035,2025-08-25,Late Delivery,Rejected
RET00174,ORD002065,2025-12-04,Better Price Found,Rejected
RET00175,ORD002081,2026-01-20,Better Price Found,Rejected
RET00176,ORD002101,2026-06-11,Better Price Found,Approved
RET00177,ORD002113,2026-07-12,Not as Described,Processing
RET00178,ORD002115,2025-12-18,Not as Described,Approved
RET00179,ORD002123,2025-08-17,Changed Mind,Approved
RET00180,ORD002128,2026-04-26,Better Price Found,Rejected
RET00181,ORD002129,2025-07-21,Better Price Found,Processing
RET00182,ORD002142,2026-03-12,Better Price Found,Approved
RET00183,ORD002150,2026-07-23,Not as Described,Rejected
RET00184,ORD002161,2025-10-08,Defective Product,Approved
RET00185,ORD002206,,Size Issue,Processing
RET00186,ORD002218,2026-01-10,Changed Mind,Processing
RET00187,ORD002219,2026-06-28,Defective Product,Rejected
RET00188,ORD002231,2025-09-07,Not as Described,Approved
RET00189,ORD002244,2025-07-26,Wrong Item Delivered,Rejected
RET00190,ORD002259,2025-10-09,Size Issue,Rejected
RET00191,ORD002269,2026-06-21,Changed Mind,Approved
RET00192,ORD002292,2025-11-01,Not as Described,Rejected
RET00193,ORD002316,2026-05-24,Defective Product,Rejected
RET00194,ORD002323,2025-09-12,Better Price Found,Processing
RET00195,ORD002360,2025-07-09,Size Issue,Rejected
RET00196,ORD002372,2026-05-10,Wrong Item Delivered,Processing
RET00197,ORD002376,2025-10-27,Wrong Item Delivered,Processing
RET00198,ORD002388,2025-11-05,Changed Mind,Approved
RET00199,ORD002393,2025-07-11,Changed Mind,Approved
RET00200,ORD002408,2025-08-06,Wrong Item Delivered,Processing
RET00201,ORD002439,2026-01-04,Size Issue,Processing
RET00202,ORD002441,2025-09-04,Changed Mind,Processing
RET00203,ORD002453,2026-03-10,Wrong Item Delivered,Processing
RET00204,ORD002455,2026-05-20,Size Issue,Approved
RET00205,ORD002464,2026-04-23,Late Delivery,Approved
RET00206,ORD002470,2025-09-06,Wrong Item Delivered,Rejected
RET00207,ORD002472,,Not as Described,Rejected
RET00208,ORD002475,2026-02-21,Defective Product,Approved
RET00209,ORD002476,,Wrong Item Delivered,Processing
RET00210,ORD002481,2026-06-28,Defective Product,Rejected
RET00211,ORD002533,2025-07-20,Defective Product,Approved
RET00212,ORD002550,2025-10-17,Defective Product,Approved
RET00213,ORD002568,2026-03-21,Wrong Item Delivered,Approved
RET00214,ORD002570,2025-08-11,Better Price Found,Processing
RET00215,ORD002571,2026-02-23,Wrong Item Delivered,Processing
RET00216,ORD002604,2026-03-20,Wrong Item Delivered,Approved
RET00217,ORD002605,2026-07-17,Changed Mind,Rejected
RET00218,ORD002633,2026-03-15,Late Delivery,Approved
RET00219,ORD002648,2025-08-01,Not as Described,Approved
RET00220,ORD002686,2025-11-13,Wrong Item Delivered,Processing
RET00221,ORD002718,2026-05-21,Defective Product,Rejected
RET00222,ORD002725,2025-12-25,Better Price Found,Approved
RET00223,ORD002739,2025-10-11,Late Delivery,Approved
RET00224,ORD002743,2025-11-19,Not as Described,Processing
RET00225,ORD002748,2025-12-02,Better Price Found,Approved
RET00226,ORD002753,2025-07-21,Defective Product,Approved
RET00227,ORD002764,2026-04-12,Changed Mind,Processing
RET00228,ORD002765,2025-12-13,Size Issue,Rejected
RET00229,ORD002790,2025-08-29,Defective Product,Rejected
RET00230,ORD002817,2026-02-24,Changed Mind,Processing
RET00231,ORD002828,2025-08-20,Defective Product,Rejected
RET00232,ORD002849,2025-10-09,Better Price Found,Approved
RET00233,ORD002914,2025-10-26,Late Delivery,Processing
RET00234,ORD002932,2026-05-18,Late Delivery,Rejected
RET00235,ORD002939,2026-02-11,Wrong Item Delivered,Approved
RET00236,ORD002984,2026-07-27,Not as Described,Processing
RET00237,ORD002990,2026-01-07,Size Issue,Rejected
RET00238,ORD002997,2026-07-10,Better Price Found,Processing
RET00239,ORD003000,2026-03-07,Size Issue,Rejected
RET00240,ORD003015,2026-05-23,Late Delivery,Approved
RET00241,ORD003039,2025-10-29,Better Price Found,Approved
RET00242,ORD003043,2025-09-16,Size Issue,Processing
RET00243,ORD003045,2026-05-13,Defective Product,Rejected
RET00244,ORD003049,2025-09-21,Late Delivery,Processing
RET00245,ORD003054,2026-07-18,Late Delivery,Processing
RET00246,ORD003067,2026-07-11,Size Issue,Approved
RET00247,ORD003069,2026-05-21,Not as Described,Approved
RET00248,ORD003075,2026-02-02,Size Issue,Approved
RET00249,ORD003082,2026-05-14,Defective Product,Processing
RET00250,ORD003090,2025-08-31,Defective Product,Approved
RET00251,ORD003118,2025-08-19,Defective Product,Processing
RET00252,ORD003119,2026-03-27,Better Price Found,Approved
RET00253,ORD003147,2026-02-09,Defective Product,Rejected
RET00254,ORD003153,2025-12-15,Size Issue,Processing
RET00255,ORD003155,2026-01-17,Not as Described,Rejected
RET00256,ORD003175,2025-07-13,Late Delivery,Approved
RET00257,ORD003181,2025-12-04,Size Issue,Rejected
RET00258,ORD003185,2026-02-17,Wrong Item Delivered,Rejected
RET00259,ORD003188,2026-03-10,Wrong Item Delivered,Approved
RET00260,ORD003197,2026-01-14,Not as Described,Processing
RET00261,ORD003215,2026-05-21,Not as Described,Rejected
RET00262,ORD003230,2026-01-01,Late Delivery,Processing
RET00263,ORD003237,2025-10-20,Not as Described,Rejected
RET00264,ORD003242,2025-09-26,Changed Mind,Rejected
RET00265,ORD003256,2025-09-28,Late Delivery,Rejected
RET00266,ORD003293,2025-12-26,Changed Mind,Processing
RET00267,ORD003304,2026-04-14,Defective Product,Processing
RET00268,ORD003308,,Wrong Item Delivered,Rejected
RET00269,ORD003350,2025-10-08,Wrong Item Delivered,Processing
RET00270,ORD003366,2025-07-31,Defective Product,Approved
RET00271,ORD003422,2025-11-06,Not as Described,Processing
RET00272,ORD003423,2025-08-26,Wrong Item Delivered,Approved
RET00273,ORD003454,2025-10-17,Better Price Found,Approved
RET00274,ORD003462,2025-11-12,Changed Mind,Approved
RET00275,ORD003497,2025-07-24,Size Issue,Processing
RET00276,ORD003500,2025-08-04,Not as Described,Rejected
RET00277,ORD003522,2025-09-15,Defective Product,Rejected
RET00278,ORD003523,2025-08-22,Size Issue,Rejected
RET00279,ORD003527,2026-04-08,Changed Mind,Processing
RET00280,ORD003562,2025-07-18,Defective Product,Rejected
RET00281,ORD003567,2026-02-09,Size Issue,Processing
RET00282,ORD003574,2026-06-12,Defective Product,Processing
RET00283,ORD003576,2026-03-06,Defective Product,Rejected
RET00284,ORD003588,2026-03-04,Better Price Found,Processing
RET00285,ORD003598,2025-08-20,Wrong Item Delivered,Processing
RET00286,ORD003626,2026-04-27,Changed Mind,Rejected
RET00287,ORD003634,2025-07-20,Late Delivery,Approved
RET00288,ORD003640,2026-05-21,Not as Described,Rejected
RET00289,ORD003641,2026-06-14,Wrong Item Delivered,Rejected
RET00290,ORD003657,2025-07-29,Size Issue,Processing
RET00291,ORD003677,2025-07-27,Defective Product,Processing
RET00292,ORD003689,2025-11-26,Defective Product,Rejected
RET00293,ORD003703,2025-09-15,Changed Mind,Rejected
RET00294,ORD003709,2026-04-17,Better Price Found,Rejected
RET00295,ORD003710,2026-07-26,Better Price Found,Processing
RET00296,ORD003730,2025-11-12,Better Price Found,Processing
RET00297,ORD003735,2025-10-20,Defective Product,Rejected
RET00298,ORD003757,2026-05-08,Changed Mind,Processing
RET00299,ORD003767,2026-04-25,Changed Mind,Processing
RET00300,ORD003775,2026-01-24,Late Delivery,Approved
RET00301,ORD003792,2026-07-19,Not as Described,Processing
RET00302,ORD003796,2025-11-27,Changed Mind,Rejected
RET00303,ORD003814,2026-04-22,Changed Mind,Rejected
RET00304,ORD003820,2026-06-09,Not as Described,Processing
RET00305,ORD003837,2025-07-10,Changed Mind,Approved
RET00306,ORD003842,2025-10-30,Late Delivery,Rejected
RET00307,ORD003906,2025-11-03,Size Issue,Rejected
RET00308,ORD003916,2025-09-09,Late Delivery,Approved
RET00309,ORD003932,2025-07-20,Not as Described,Processing
RET00310,ORD003934,2026-04-10,Defective Product,Approved
RET00311,ORD003943,2025-10-15,Changed Mind,Processing
RET00312,ORD003976,2025-09-16,Wrong Item Delivered,Rejected
RET00313,ORD003979,2026-06-23,Defective Product,Processing
RET00314,ORD003999,2026-01-19,Defective Product,Rejected
RET00315,ORD004020,2025-08-13,Not as Described,Approved
RET00316,ORD004046,2026-01-30,Late Delivery,Processing
RET00317,ORD004047,2026-06-23,Wrong Item Delivered,Approved
RET00318,ORD004053,2026-07-11,Better Price Found,Approved
RET00319,ORD004070,2025-09-02,Better Price Found,Processing
RET00320,ORD004085,2025-09-07,Not as Described,Processing
RET00321,ORD004087,2025-07-10,Size Issue,Approved
RET00322,ORD004095,2026-08-08,Size Issue,Rejected
RET00323,ORD004123,2025-12-23,Defective Product,Processing
RET00324,ORD004147,2025-12-30,Wrong Item Delivered,Rejected
RET00325,ORD004150,2025-11-26,Defective Product,Rejected
RET00326,ORD004156,2025-12-05,Not as Described,Processing
RET00327,ORD004166,2025-12-15,Wrong Item Delivered,Approved
RET00328,ORD004167,2026-04-22,Wrong Item Delivered,Approved
RET00329,ORD004179,2026-03-05,Better Price Found,Processing
RET00330,ORD004181,2026-01-12,Not as Described,Rejected
RET00331,ORD004182,2025-08-21,Changed Mind,Rejected
RET00332,ORD004193,2025-12-04,Changed Mind,Rejected
RET00333,ORD004196,2025-10-22,Wrong Item Delivered,Approved
RET00334,ORD004208,2025-09-30,Changed Mind,Processing
RET00335,ORD004227,2026-02-21,Late Delivery,Rejected
RET00336,ORD004230,2025-08-11,Late Delivery,Rejected
RET00337,ORD004234,2026-02-12,Not as Described,Processing
RET00338,ORD004259,2026-06-13,Wrong Item Delivered,Processing
RET00339,ORD004265,2025-11-01,Size Issue,Processing
RET00340,ORD004268,2025-11-27,Defective Product,Approved
RET00341,ORD004269,2025-09-29,Wrong Item Delivered,Processing
RET00342,ORD004284,2026-03-06,Late Delivery,Processing
RET00343,ORD004288,2025-10-01,Size Issue,Rejected
RET00344,ORD004318,2025-12-04,Better Price Found,Processing
RET00345,ORD004332,2025-08-23,Wrong Item Delivered,Processing
RET00346,ORD004337,2025-09-08,Defective Product,Processing
RET00347,ORD004346,2025-09-04,Wrong Item Delivered,Processing
RET00348,ORD004359,2026-08-08,Changed Mind,Approved
RET00349,ORD004363,,Wrong Item Delivered,Approved
RET00350,ORD004371,2026-05-16,Changed Mind,Processing
RET00351,ORD004374,2025-07-22,Not as Described,Approved
RET00352,ORD004424,2026-04-17,Better Price Found,Processing
RET00353,ORD004425,2026-04-08,Better Price Found,Approved
RET00354,ORD004439,2026-01-26,Not as Described,Approved
RET00355,ORD004460,2025-12-03,Size Issue,Processing
RET00356,ORD004465,2025-12-17,Not as Described,Processing
RET00357,ORD004482,2025-07-02,Defective Product,Processing
RET00358,ORD004484,2025-12-11,Better Price Found,Rejected
RET00359,ORD004486,2026-07-14,Better Price Found,Rejected
RET00360,ORD004505,2025-12-27,Late Delivery,Rejected
RET00361,ORD004507,2026-01-03,Wrong Item Delivered,Processing
RET00362,ORD004516,2026-08-07,Late Delivery,Rejected
RET00363,ORD004517,2026-01-09,Better Price Found,Approved
RET00364,ORD004531,2026-02-04,Size Issue,Approved
RET00365,ORD004536,2025-09-29,Wrong Item Delivered,Approved
RET00366,ORD004537,2025-08-09,Size Issue,Rejected
RET00367,ORD004558,2025-08-15,Defective Product,Rejected
RET00368,ORD004579,2026-05-08,Size Issue,Approved
RET00369,ORD004586,2025-11-26,Wrong Item Delivered,Processing
RET00370,ORD004589,2025-09-01,Wrong Item Delivered,Rejected
RET00371,ORD004595,2026-02-15,Size Issue,Rejected
RET00372,ORD004605,2025-09-02,Better Price Found,Approved
RET00373,ORD004607,2026-07-11,Size Issue,Approved
RET00374,ORD004644,2026-05-17,Late Delivery,Processing
RET00375,ORD004656,2025-08-17,Not as Described,Rejected
RET00376,ORD004667,2026-04-09,Wrong Item Delivered,Approved
RET00377,ORD004674,2026-02-26,Not as Described,Approved
RET00378,ORD004683,2025-07-28,Late Delivery,Rejected
RET00379,ORD004690,2026-01-23,Wrong Item Delivered,Processing
RET00380,ORD004691,2026-02-11,Changed Mind,Rejected
RET00381,ORD004705,2026-04-23,Not as Described,Processing
RET00382,ORD004709,2025-08-24,Wrong Item Delivered,Approved
RET00383,ORD004715,2025-08-07,Defective Product,Approved
RET00384,ORD004716,2025-09-21,Better Price Found,Processing
RET00385,ORD004740,2026-07-12,Not as Described,Approved
RET00386,ORD004747,2025-12-16,Defective Product,Rejected
RET00387,ORD004752,2026-07-17,Defective Product,Approved
RET00388,ORD004761,2025-10-18,Defective Product,Rejected
RET00389,ORD004764,2026-02-23,Defective Product,Approved
RET00390,ORD004772,2026-05-01,Not as Described,Approved
RET00391,ORD004777,2026-08-08,Changed Mind,Processing
RET00392,ORD004778,2025-11-24,Late Delivery,Rejected
RET00393,ORD004779,2025-08-30,Defective Product,Approved
RET00394,ORD004784,2025-10-23,Wrong Item Delivered,Processing
RET00395,ORD004795,2026-07-28,Late Delivery,Processing
RET00396,ORD004797,2026-07-19,Size Issue,Rejected
RET00397,ORD004807,2025-10-26,Not as Described,Rejected
RET00398,ORD004812,2025-11-06,Better Price Found,Processing
RET00399,ORD004813,2026-02-18,Wrong Item Delivered,Processing
RET00400,ORD004828,2025-10-03,Size Issue,Processing
RET00401,ORD004833,2026-05-17,Wrong Item Delivered,Processing
RET00402,ORD004837,2025-10-13,Size Issue,Approved
RET00403,ORD004866,2026-02-10,Late Delivery,Approved
RET00404,ORD004872,2026-02-26,Not as Described,Processing
RET00405,ORD004902,2026-02-19,Size Issue,Rejected
RET00406,ORD004910,2025-09-04,Defective Product,Rejected
RET00407,ORD004916,2026-07-05,Wrong Item Delivered,Approved
RET00408,ORD004922,2026-02-18,Changed Mind,Processing
RET00409,ORD004932,2026-03-08,Size Issue,Approved
RET00410,ORD004956,2026-04-21,Changed Mind,Processing
RET00411,ORD004973,2025-08-30,Defective Product,Processing
RET00412,ORD004974,2026-03-25,Size Issue,Approved
RET00413,ORD004983,2026-06-03,Better Price Found,Processing
RET00414,ORD004989,2025-10-05,Not as Described,Approved
RET00415,ORD005003,2026-07-13,Better Price Found,Approved
RET00416,ORD005017,2026-04-17,Size Issue,Approved
RET00417,ORD005018,2026-06-09,Changed Mind,Processing
RET00418,ORD005019,2026-02-12,Changed Mind,Processing
RET00419,ORD005039,2026-05-22,Wrong Item Delivered,Processing
RET00420,ORD005052,2025-10-26,Not as Described,Approved
RET00421,ORD005060,2026-03-14,Changed Mind,Processing
RET00422,ORD005061,2026-02-14,Size Issue,Processing
RET00423,ORD005064,2026-06-06,Changed Mind,Approved
RET00424,ORD005074,,Wrong Item Delivered,Processing
RET00425,ORD005081,2025-07-11,Changed Mind,Rejected
RET00426,ORD005086,2026-02-14,Defective Product,Processing
RET00427,ORD005089,2025-08-10,Wrong Item Delivered,Rejected
RET00428,ORD005092,2025-08-29,Wrong Item Delivered,Approved
RET00429,ORD005093,2025-11-07,Wrong Item Delivered,Approved
RET00430,ORD005109,2025-10-04,Size Issue,Approved
RET00431,ORD005121,2026-07-05,Size Issue,Processing
RET00432,ORD005134,2025-09-16,Defective Product,Rejected
RET00433,ORD005149,,Late Delivery,Rejected
RET00434,ORD005150,2025-07-15,Changed Mind,Approved
RET00435,ORD005151,2025-10-15,Size Issue,Approved
RET00436,ORD005152,2026-04-16,Size Issue,Processing
RET00437,ORD005178,2026-07-21,Late Delivery,Processing
RET00438,ORD005186,2026-03-15,Wrong Item Delivered,Approved
RET00439,ORD005233,2025-09-21,Defective Product,Processing
RET00440,ORD005246,2025-07-12,Defective Product,Approved
RET00441,ORD005247,2025-12-18,Defective Product,Processing
RET00442,ORD005249,2026-05-20,Better Price Found,Rejected
RET00443,ORD005288,2026-02-22,Defective Product,Rejected
RET00444,ORD005291,2026-02-07,Better Price Found,Rejected
RET00445,ORD005292,2026-01-12,Changed Mind,Approved
RET00446,ORD005299,2026-05-06,Changed Mind,Approved
RET00447,ORD005307,2026-01-14,Better Price Found,Approved
RET00448,ORD005315,2025-11-05,Size Issue,Rejected
RET00449,ORD005331,2026-01-26,Size Issue,Approved
RET00450,ORD005356,2026-06-19,Not as Described,Approved
RET00451,ORD005361,2026-06-28,Defective Product,Rejected
RET00452,ORD005369,2025-11-26,Defective Product,Rejected
RET00453,ORD005388,2025-10-19,Late Delivery,Approved
RET00454,ORD005430,2026-03-31,Better Price Found,Rejected
RET00455,ORD005431,2026-06-11,Not as Described,Approved
RET00456,ORD005444,2025-12-04,Size Issue,Approved
RET00457,ORD005455,2026-04-29,Changed Mind,Rejected
RET00458,ORD005457,,Defective Product,Processing
RET00459,ORD005470,2025-09-23,Late Delivery,Processing
RET00460,ORD005496,2025-08-26,Changed Mind,Rejected
RET00461,ORD005503,2025-08-06,Wrong Item Delivered,Rejected
RET00462,ORD005507,2025-08-02,Size Issue,Processing
RET00463,ORD005533,2025-12-02,Late Delivery,Approved
RET00464,ORD005536,2026-05-10,Better Price Found,Rejected
RET00465,ORD005537,2026-04-15,Not as Described,Rejected
RET00466,ORD005540,2026-01-04,Wrong Item Delivered,Processing
RET00467,ORD005545,2025-11-04,Size Issue,Processing
RET00468,ORD005565,2025-11-01,Late Delivery,Approved
RET00469,ORD005566,2025-08-29,Late Delivery,Rejected
RET00470,ORD005576,2026-03-22,Late Delivery,Approved
RET00471,ORD005578,2026-01-07,Late Delivery,Approved
RET00472,ORD005584,2026-02-25,Late Delivery,Rejected
RET00473,ORD005594,2026-02-11,Defective Product,Processing
RET00474,ORD005600,2025-07-28,Not as Described,Approved
