Product_ID,Product_Name,Category,Sub_Category,Brand,Unit_Cost,Selling_Price
PROD0049,Kestrel Appliances Lawyer,Home and Kitchen,Appliances,Prime,28.85,44.08
PROD0050,Bright Owl Makeup And,Beauty & Personal Care,Makeup,Solstice,478.62,801.89
PROD0051,Nova Makeup Debate,Beauty,Makeup,Solstice,219.2,357.42
PROD0052,Kestrel Skincare Box,beauty,Skincare,Everline,108.4,166.63
PROD0053,Bright Owl Skincare Alone,Beauty & Personal Care,Skincare,Vantage,188.06,226.61
PROD0054,Prime Makeup Student,Beauty,Makeup,Nova,384.95,611.04
PROD0055,Solstice Skincare Receive,Beauty,Skincare,Nova,411.98,841.62
PROD0056,TrueFit Haircare Must,beauty,Haircare,Glowmax,109.94,202.31
PROD0057,Bright Owl Haircare Personal,Beauty & Personal Care,Haircare,TrueFit,238.78,495.27
PROD0058,Zenith Haircare Artist,Beauty & Personal Care,Haircare,Zenith,111.79,208.12
PROD0059,TrueFit Skincare Manager,Beauty & Personal Care,Skincare,Glowmax,305.84,446.55
PROD0060,Glowmax Haircare By,Beauty & Personal Care,Haircare,TrueFit,72.62,133.2
PROD0061,Solstice Haircare When,beauty,Haircare,TrueFit,370.61,549.02
PROD0062,Glowmax Haircare Environment,Beauty,Haircare,Prime,324.19,507.32
PROD0063,Vantage Haircare Animal,beauty,Haircare,Zenith,358.04,486.64
PROD0064,Zenith Haircare Attorney,Beauty,Haircare,Glowmax,445.66,647.0
PROD0065,Prime Skincare Fish,Beauty & Personal Care,Skincare,TrueFit,187.05,226.52
PROD0066,Glowmax Skincare Region,Beauty & Personal Care,Skincare,Everline,60.2,101.84
PROD0067,TrueFit Makeup Action,Beauty,Makeup,TrueFit,137.46,278.67
PROD0068,Solstice Skincare Somebody,Beauty & Personal Care,Skincare,Bright Owl,12.27,18.99
PROD0069,Glowmax Haircare Big,Beauty & Personal Care,Haircare,Prime,171.99,201.28
PROD0070,Solstice Fitness Equipment Stay,sports,Fitness Equipment,TrueFit,66.56,105.45
PROD0071,Kestrel Sportswear Candidate,sports,Sportswear,Nova,248.97,199.18
PROD0072,Glowmax Fitness Equipment Wife,sports,Fitness Equipment,Bright Owl,267.81,475.33
PROD0073,Nova Fitness Equipment Play,Sports,Fitness Equipment,Kestrel,9.91,16.23
PROD0074,Solstice Sportswear Describe,Sports & Fitness,Sportswear,Coastal,481.93,816.86
PROD0075,Glowmax Sportswear People,Sports & Fitness,Sportswear,Kestrel,340.38,502.9
PROD0076,Prime Outdoor Gear Wear,sports,Outdoor Gear,Everline,388.13,761.34
PROD0077,Vantage Outdoor Gear Decision,sports,Outdoor Gear,Prime,263.04,572.06
PROD0078,Everline Outdoor Gear Crime,Sports,Outdoor Gear,Solstice,67.15,78.42
PROD0079,Solstice Fitness Equipment Religious,Sports & Fitness,Fitness Equipment,Prime,386.23,771.5
PROD0080,Everline Sportswear Have,Sports & Fitness,Sportswear,Everline,64.5,92.16
PROD0081,Solstice Sportswear Air,Sports,Sportswear,Everline,13.69,19.96
PROD0082,Bright Owl Outdoor Gear Believe,Sports & Fitness,Outdoor Gear,Bright Owl,387.71,656.73
PROD0083,Prime Sportswear Child,Sports,Sportswear,Zenith,177.31,273.12
PROD0084,Urban Craft Sportswear Throughout,sports,Sportswear,Solstice,5.67,8.31
PROD0085,Solstice Sportswear Skin,Sports,Sportswear,Bright Owl,325.0,706.19
PROD0086,Nova Academic Year,books,Academic,Prime,424.3,498.46
PROD0087,Solstice Fiction Fall,Books,Fiction,TrueFit,449.79,887.15
PROD0088,Nova Fiction Particularly,Books,Fiction,TrueFit,391.29,638.15
PROD0089,Coastal Fiction Happen,books,Fiction,Kestrel,202.01,296.56
PROD0090,Kestrel Fiction He,books,Fiction,Kestrel,37.52,52.14
PROD0091,Urban Craft Non-Fiction College,Books,Non-Fiction,Zenith,127.07,210.72
PROD0092,Everline Fiction Top,books,Fiction,Solstice,374.98,299.98
PROD0093,Nova Non-Fiction Month,books,Non-Fiction,Urban Craft,33.63,72.5
PROD0094,Zenith Academic Statement,Books,Academic,Urban Craft,471.65,931.25
PROD0095,Urban Craft Academic Shoulder,Books,Academic,Nova,495.71,853.47
PROD0096,Kestrel Fiction Position,books,Fiction,Glowmax,481.57,592.04
PROD0097,Prime Non-Fiction Effort,books,Non-Fiction,Kestrel,186.01,257.93
PROD0098,Zenith Academic Mouth,books,Academic,Coastal,101.94,132.3
PROD0099,Solstice Non-Fiction Over,Books,Non-Fiction,Solstice,313.09,616.91
PROD0100,Vantage Fiction Author,books,Fiction,Kestrel,291.26,379.89
PROD0101,Vantage Academic Bit,books,Academic,Kestrel,406.51,738.93
PROD0102,Nova Non-Fiction Ten,Books,Non-Fiction,Prime,197.14,366.25
PROD0103,Prime Academic Particular,Books,Academic,Everline,133.65,202.14
PROD0104,Urban Craft Fiction Source,books,Fiction,Bright Owl,459.16,668.09
PROD0105,Prime Academic Address,Books,Academic,Everline,237.64,495.4
PROD0106,Prime Action Figures Newspaper,toys,Action Figures,Bright Owl,355.32,431.83
PROD0107,Bright Owl Educational Director,Toys,Educational,TrueFit,77.92,62.34
PROD0108,Vantage Puzzles Senior,Toys & Games,Puzzles,Vantage,317.31,514.06
PROD0109,Coastal Puzzles Dark,toys,Puzzles,Zenith,71.47,154.08
PROD0110,Kestrel Educational Father,Toys & Games,Educational,Vantage,267.18,375.12
PROD0111,Everline Puzzles Congress,Toys & Games,Puzzles,Glowmax,252.8,471.12
PROD0112,Bright Owl Puzzles Week,Toys,Puzzles,Nova,42.74,61.48
PROD0113,TrueFit Puzzles Somebody,toys,Puzzles,Everline,404.45,660.32
PROD0114,Zenith Educational Note,Toys,Educational,Everline,275.56,442.12
PROD0115,Urban Craft Educational Above,Toys,Educational,Prime,26.73,35.39
PROD0116,Zenith Puzzles Share,toys,Puzzles,Urban Craft,225.54,308.91
PROD0117,Everline Educational Bit,Toys & Games,Educational,Glowmax,29.74,60.55
PROD0118,Kestrel Action Figures Window,toys,Action Figures,Vantage,490.69,972.94
PROD0119,Coastal Educational Difficult,Toys,Educational,Urban Craft,427.62,600.41
PROD0120,Urban Craft Puzzles Wife,Toys,Puzzles,Zenith,480.51,651.94
PROD0121,Nova Educational Mother,Toys & Games,Educational,Prime,475.96,1044.52
PROD0122,Zenith Educational Today,Toys,Educational,Prime,357.3,778.99
