Order_ID,Customer_ID,Order_Date,Product_ID,Quantity,Discount,Shipping_Cost,Sales_Channel,Payment_Method,Order_Status,Region
ORD000084,CUST01455,2026-02-10,PROD0074,3,0.25,11.91,In-Store,Net Banking,Delivered,North
ORD000085,CUST01248,2026-04-30,PROD0085,2,0.25,12.44,Mobile App,Wallet,Cancelled,South
ORD000086,CUST00947,2025-12-01,PROD0002,2,0.25,5.12,In-Store,Net Banking,Delivered,East
ORD000087,CUST01558,2025-12-16,PROD0112,3,0.05,14.78,Online,Net Banking,Pending,North
ORD000088,CUST00700,2025-08-12,PROD0097,2,0.05,4.65,In-Store,Net Banking,Delivered,North
ORD000089,CUST01877,2026-04-22,PROD0044,4,0.0,8.29,Mobile App,Credit Card,Returned,North
ORD000090,CUST00912,2026-07-13,PROD0060,6,0.0,21.38,Mobile App,Credit Card,Delivered,South
ORD000091,CUST00766,2026-04-13,PROD0012,4,0.05,5.18,Mobile App,Wallet,Delivered,North
ORD000092,CUST01379,2026-07-22,PROD0051,6,0.15,1.78,Online,Wallet,Delivered,North
ORD000093,CUST01091,2026-04-21,PROD0017,5,0.05,1.73,Mobile App,COD,Delivered,East
ORD000094,CUST00672,2025-12-26,PROD0106,6,0.0,23.52,Mobile App,Credit Card,Cancelled,North
ORD000095,CUST00945,2025-07-22,PROD0027,1,0.1,12.67,In-Store,Credit Card,Returned,West
ORD000096,CUST01414,2025-10-14,PROD0045,4,0.25,10.24,Mobile App,Wallet,Delivered,South
ORD000097,CUST01116,2025-10-16,PROD0042,5,0.0,20.27,In-Store,Credit Card,Delivered,East
ORD000098,CUST00491,2026-02-16,PROD0075,1,0.2,20.9,In-Store,Net Banking,Delivered,East
ORD000099,CUST01717,2025-08-29,PROD0066,3,0.0,8.3,Online,COD,Delivered,West
ORD000100,CUST00703,2025-07-15,PROD0118,5,0.2,17.34,Online,UPI,Delivered,North
ORD000101,CUST01830,2026-01-10,PROD0014,3,0.2,19.28,Mobile App,Wallet,Delivered,East
ORD000102,CUST00544,2026-05-21,PROD0006,3,0.1,16.37,In-Store,Credit Card,Delivered,North
ORD000103,CUST00865,2025-09-08,PROD0018,0,0.25,3.79,Mobile App,Credit Card,Delivered,East
ORD000104,CUST01627,2026-06-12,PROD0028,1,0.05,21.9,Online,Net Banking,Delivered,North
ORD000105,CUST00355,2026-01-31,PROD0065,3,0.0,13.48,Mobile App,UPI,Returned,West
ORD000106,CUST01448,2026-07-27,PROD0031,3,0.15,7.06,In-Store,Net Banking,Delivered,West
ORD000107,CUST01983,2025-09-08,PROD0055,1,0.05,,Mobile App,Net Banking,Pending,North
ORD000108,CUST01940,2026-07-23,PROD0027,3,0.0,0.94,Mobile App,Net Banking,Delivered,North
ORD000109,CUST00456,2026-03-17,PROD0094,5,0.15,3.2,Online,Debit Card,Delivered,West
ORD000110,CUST01276,02-16-2026,PROD0117,3,0.0,19.14,Online,UPI,Delivered,West
ORD000111,CUST00342,2025-07-12,PROD0006,2,0.15,0.0,In-Store,Credit Card,Delivered,South
ORD000112,CUST00275,2025-10-28,PROD0001,5,0.15,10.41,In-Store,UPI,Delivered,North
ORD000113,CUST00441,2026-06-28,PROD0021,6,0.1,13.06,In-Store,UPI,Pending,South
ORD000114,CUST01300,2026-04-09,PROD0119,1,0.1,1.37,Online,Debit Card,Delivered,West
ORD000115,CUST00524,2025-07-15,PROD0111,6,0.0,24.33,Mobile App,COD,Delivered,South
ORD000116,CUST00029,2026-01-08,PROD0034,4,0.0,5.65,Mobile App,Wallet,Delivered,South
ORD000117,CUST00626,2026-01-31,PROD0049,5,0.0,7.6,Mobile App,COD,Delivered,West
ORD000118,CUST01337,2025-10-19,PROD0022,1,0.2,7.6,Online,Debit Card,Delivered,North
ORD000119,CUST00144,2026-05-01,PROD0074,2,0.2,5.76,In-Store,Debit Card,Delivered,North
ORD000120,CUST01014,2025-07-06,PROD0032,4,0.0,0.04,Online,UPI,Pending,North
ORD000121,CUST01595,2025-07-14,PROD0005,2,0.0,18.23,Mobile App,COD,Delivered,North
ORD000122,CUST00155,2025-08-25,PROD0084,4,0.3,24.17,In-Store,COD,Delivered,North
ORD000123,CUST01623,2025-07-13,PROD0015,3,0.1,5.61,In-Store,Credit Card,Delivered,North
ORD000124,CUST00297,2026-02-28,PROD0106,4,0.05,16.58,Online,UPI,Delivered,South
ORD000125,CUST00371,2025-10-03,PROD0028,1,0.0,18.55,Mobile App,UPI,Delivered,South
ORD000126,CUST01687,2026-07-11,PROD0058,6,0.1,21.21,In-Store,Debit Card,Delivered,North
ORD000127,CUST00461,2025-10-15,PROD0119,4,0.15,10.57,Online,COD,Delivered,West
ORD000128,CUST00707,2026-05-05,PROD0106,6,0.0,7.57,Mobile App,UPI,Delivered,East
ORD000129,CUST01905,2025-08-27,PROD0069,2,0.0,8.13,Mobile App,Credit Card,Delivered,West
ORD000130,CUST00523,2026-04-03,PROD0062,6,0.3,17.82,Mobile App,COD,Cancelled,West
ORD000131,CUST00552,2025-09-03,PROD0040,4,0.0,20.42,In-Store,UPI,Delivered,South
ORD000132,CUST01005,2026-02-10,PROD0038,5,0.0,4.54,Mobile App,Net Banking,Delivered,West
ORD000133,CUST01574,2025-12-01,PROD0115,4,0.3,9.27,Online,COD,Delivered,South
ORD000134,CUST00554,2025-10-10,PROD0058,2,0.1,22.55,Online,Net Banking,Delivered,South
ORD000135,CUST01464,2026-04-20,PROD0110,4,0.2,20.17,Online,Debit Card,Delivered,South
ORD000136,CUST00736,2025-10-11,PROD0116,4,0.0,24.62,In-Store,Credit Card,Returned,South
ORD000137,CUST00598,2025-07-02,PROD0096,1,0.2,18.86,Mobile App,COD,Delivered,North
ORD000138,CUST00244,05-10-2026,PROD0052,5,0.0,9.83,Online,Credit Card,Delivered,North
ORD000139,CUST01013,2026-01-13,PROD0026,6,0.05,14.77,In-Store,Wallet,Cancelled,West
ORD000140,CUST00690,2026-07-14,PROD0039,1,0.3,16.53,Mobile App,Credit Card,Pending,West
ORD000141,CUST01223,2026-03-03,PROD0105,4,0.0,,Mobile App,Net Banking,Delivered,South
ORD000142,CUST00169,2025-11-05,PROD0119,1,0.05,13.61,Online,Net Banking,Returned,East
ORD000143,CUST00290,2025-08-17,PROD0098,5,0.1,17.73,Mobile App,UPI,Delivered,North
ORD000144,CUST01562,2025-10-05,PROD0031,6,0.15,4.18,In-Store,COD,Delivered,West
ORD000145,CUST01824,2025-12-12,PROD0091,5,0.1,19.52,In-Store,COD,Delivered,South
ORD000146,CUST01477,2026-07-02,PROD0003,1,0.1,14.59,Online,Wallet,Delivered,North
ORD000147,CUST01890,2026-06-18,PROD0099,2,0.3,23.81,In-Store,Credit Card,Delivered,West
ORD000148,CUST01411,2025-09-11,PROD0042,3,0.0,1.06,Online,COD,Delivered,East
ORD000149,CUST00931,2026-05-23,PROD0003,4,0.05,6.63,Online,UPI,Delivered,North
ORD000150,CUST00238,2026-07-31,PROD0088,2,0.15,15.04,In-Store,Credit Card,Delivered,East
ORD000151,CUST00065,2025-12-25,PROD0008,3,0.2,7.41,In-Store,Net Banking,Delivered,North
ORD000152,CUST01070,2025-11-13,PROD0019,1,0.0,17.86,In-Store,Credit Card,Delivered,South
ORD000153,CUST00184,2025-10-11,PROD0017,2,0.2,18.98,Online,Wallet,Returned,East
ORD000154,CUST01669,2025-07-06,PROD0099,4,0.15,2.56,Mobile App,UPI,Delivered,North
ORD000155,CUST01746,2025-12-04,PROD0082,2,0.2,12.85,In-Store,COD,Cancelled,North
ORD000156,CUST01523,2025-08-24,PROD0103,3,0.15,12.72,Mobile App,Debit Card,Pending,East
ORD000157,CUST00171,2026-03-09,PROD0063,3,0.3,9.23,In-Store,Net Banking,Delivered,East
ORD000158,CUST00376,2026-07-23,PROD0051,6,0.25,23.32,In-Store,Credit Card,Delivered,West
ORD000159,CUST01753,2026-06-26,PROD0017,3,0.2,20.69,In-Store,Credit Card,Pending,West
ORD000160,CUST00601,2026-01-26,PROD0061,4,0.1,17.43,In-Store,Credit Card,Delivered,North
ORD000161,CUST00622,2026-05-24,PROD0065,1,0.0,17.86,Mobile App,COD,Pending,South
ORD000162,CUST01487,2025-09-03,PROD0054,3,0.1,11.54,Mobile App,COD,Delivered,North
ORD000163,CUST01539,2025-09-16,PROD0046,6,0.1,23.02,Online,UPI,Delivered,South
ORD000164,CUST00181,2025-07-09,PROD0099,6,0.1,17.36,Online,Credit Card,Delivered,West
ORD000165,CUST01756,2025-10-09,PROD0086,1,0.25,18.22,In-Store,Debit Card,Delivered,East
ORD000166,CUST01483,2026-06-12,PROD0009,3,0.3,21.54,Mobile App,Net Banking,Delivered,West
ORD000167,CUST00202,0000-00-00,PROD0105,4,0.0,6.85,Online,Credit Card,Delivered,South
ORD000168,CUST00382,2026-01-06,PROD0032,6,0.0,20.18,Online,Credit Card,Delivered,North
ORD000169,CUST00206,2025-12-07,PROD0092,5,0.05,4.88,Mobile App,Wallet,Returned,West
ORD000170,CUST00915,2025-07-28,PROD0071,2,0.05,8.63,Mobile App,Net Banking,Delivered,North
ORD000171,CUST01883,2025-08-11,PROD0120,3,0.0,8.39,In-Store,Credit Card,Delivered,West
ORD000172,CUST01599,2026-07-18,PROD0096,4,0.3,24.46,Online,Wallet,Delivered,South
ORD000173,CUST00530,2026-07-25,PROD0013,3,0.0,21.41,Mobile App,Wallet,Delivered,West
ORD000174,CUST01963,2026-03-26,PROD0057,3,0.0,17.53,In-Store,Debit Card,Delivered,South
ORD000175,CUST01777,2026-06-27,PROD0108,4,0.3,18.18,In-Store,Net Banking,Delivered,West
ORD000176,CUST01937,2025-09-09,PROD0054,5,0.05,14.05,Online,COD,Delivered,North
ORD000177,CUST01801,2026-05-12,PROD0098,2,0.05,23.68,Mobile App,Wallet,Pending,East
ORD000178,CUST00465,2026-03-04,PROD0006,1,0.25,12.41,In-Store,COD,Delivered,North
ORD000179,CUST00721,2025-07-04,PROD0060,3,0.3,9.51,Mobile App,Credit Card,Delivered,East
ORD000180,CUST00810,2026-06-08,PROD0024,2,0.0,4.08,Online,Credit Card,Delivered,North
ORD000181,CUST01365,2026-01-13,PROD0061,4,0.25,19.66,Online,COD,Cancelled,East
ORD000182,CUST01925,2025-08-03,PROD0113,6,0.15,18.36,Online,Credit Card,Delivered,North
ORD000183,CUST00020,2026-01-25,PROD0028,2,0.0,9.61,Online,UPI,Delivered,East
ORD000184,CUST01773,2025-09-19,PROD0029,2,0.0,0.63,Mobile App,Debit Card,Delivered,East
ORD000185,CUST01231,2026-03-15,PROD0104,1,0.0,20.97,Online,Credit Card,Delivered,South
ORD000186,CUST00747,2025-07-24,PROD0098,3,0.2,0.29,Mobile App,Net Banking,Pending,East
ORD000187,CUST01127,2026-01-23,PROD0012,2,0.15,17.59,Online,Credit Card,Delivered,North
ORD000188,CUST01680,2026-07-25,PROD0104,4,0.0,24.26,Mobile App,COD,Cancelled,North
ORD000189,CUST01578,2025-12-11,PROD0010,5,0.0,10.94,In-Store,COD,Delivered,North
ORD000190,CUST00700,2025-09-07,PROD0047,3,0.25,5.87,In-Store,Debit Card,Delivered,North
ORD000191,CUST00039,2026-07-26,PROD0020,5,0.05,17.62,In-Store,UPI,Delivered,East
ORD000192,CUST00905,2026-07-31,PROD0014,4,0.0,20.43,Online,COD,Delivered,West
ORD000193,CUST01314,2025-09-01,PROD0097,3,0.25,13.66,Online,COD,Delivered,North
ORD000194,CUST01590,2025-10-19,PROD0024,3,0.05,24.18,In-Store,UPI,Cancelled,East
ORD000195,CUST00332,2026-03-15,PROD0073,6,0.0,1.29,Online,UPI,Delivered,West
ORD000196,CUST01708,2026-06-16,PROD0039,2,0.0,12.62,Online,COD,Delivered,East
ORD000197,CUST01937,09-08-2025,PROD0009,6,0.05,17.96,Mobile App,Debit Card,Pending,South
ORD000198,CUST00257,2026-07-08,PROD0028,4,0.0,21.57,Mobile App,COD,Delivered,West
ORD000199,CUST01918,2026-05-07,PROD0067,6,0.1,4.48,In-Store,Net Banking,Delivered,South
ORD000200,CUST01615,2025-07-30,PROD0004,3,0.1,,Mobile App,Net Banking,Pending,South
ORD000201,CUST00921,2026-02-28,PROD0055,4,0.15,13.82,In-Store,Credit Card,Delivered,East
ORD000202,CUST00695,2026-01-27,PROD0045,6,0.25,9.91,In-Store,Debit Card,Delivered,North
ORD000203,CUST01731,2026-04-27,PROD0024,1,0.3,3.29,In-Store,Debit Card,Returned,South
ORD000204,CUST01318,2026-02-19,PROD0019,2,0.0,21.63,In-Store,Credit Card,Delivered,North
ORD000205,CUST01984,2026-02-23,PROD0063,6,0.2,3.93,Online,COD,Delivered,East
ORD000206,CUST01132,2025-09-19,PROD0052,5,0.1,7.74,Mobile App,Net Banking,Delivered,East
ORD000207,CUST01755,2025-09-28,PROD0104,4,0.0,7.25,Online,Debit Card,Delivered,South
ORD000208,CUST01824,2026-07-18,PROD0035,5,0.0,21.79,Online,Wallet,Delivered,West
ORD000209,CUST01810,2025-08-09,PROD0114,5,0.0,16.82,Online,Debit Card,Cancelled,North
ORD000210,CUST01404,2026-01-21,PROD0002,4,0.0,19.92,Online,UPI,Delivered,South
ORD000211,CUST00459,2025-10-03,PROD0110,4,0.1,6.26,Online,COD,Delivered,East
ORD000212,CUST01962,2026-02-13,PROD0073,2,0.0,15.62,Online,Wallet,Delivered,East
ORD000213,CUST01432,2025-11-11,PROD0078,3,0.3,14.29,Online,Wallet,Delivered,South
ORD000214,CUST01173,2026-02-22,PROD0016,4,0.0,20.82,In-Store,Debit Card,Delivered,North
ORD000215,CUST00882,2025-11-30,PROD0092,5,0.0,22.65,In-Store,COD,Delivered,East
ORD000216,CUST00421,2025-09-26,PROD0076,2,0.1,0.3,In-Store,UPI,Delivered,East
ORD000217,CUST01672,2025-07-12,PROD0001,1,0.3,16.85,In-Store,Wallet,Delivered,East
ORD000218,CUST01465,2026-07-21,PROD0119,1,0.3,,Online,Net Banking,Pending,South
ORD000219,CUST01935,2026-05-01,PROD0039,2,0.15,13.72,Online,Net Banking,Delivered,East
ORD000220,CUST00714,2026-04-04,PROD0025,1,0.0,7.19,Online,Debit Card,Delivered,South
ORD000221,CUST01650,2025-11-03,PROD0043,1,0.15,7.67,In-Store,Credit Card,Delivered,South
ORD000222,CUST00830,2025-12-20,PROD0075,6,0.0,8.82,Mobile App,Net Banking,Cancelled,East
ORD000223,CUST00333,2026-06-21,PROD0038,5,0.05,15.53,Online,COD,Returned,West
ORD000224,CUST00473,09-06-2025,PROD0016,5,0.3,8.35,Online,UPI,Delivered,North
ORD000225,CUST00805,2025-09-21,PROD0041,1,0.15,18.32,Mobile App,Net Banking,Delivered,North
ORD000226,CUST00633,2025-08-30,PROD0076,4,0.0,10.11,In-Store,UPI,Delivered,North
ORD000227,CUST00701,2026-01-13,PROD0080,3,0.05,1.71,Online,Net Banking,Delivered,West
ORD000228,CUST00821,2026-02-14,PROD0017,2,0.15,19.59,In-Store,UPI,Delivered,South
ORD000229,CUST01838,2026-06-07,PROD0116,6,0.1,7.14,Online,Wallet,Delivered,West
ORD000230,CUST01801,2025-08-31,PROD0069,2,0.0,10.82,In-Store,UPI,Returned,East
ORD000231,CUST01762,2025-08-01,PROD0043,6,0.15,17.14,In-Store,Credit Card,Delivered,East
ORD000232,CUST01365,2025-10-16,PROD0108,2,0.0,8.31,Online,Net Banking,Cancelled,West
ORD000233,CUST01519,2026-04-29,PROD0033,2,0.0,1.41,Online,Debit Card,Pending,South
ORD000234,CUST01106,2026-06-28,PROD0102,6,0.15,9.35,Online,Net Banking,Delivered,North
ORD000235,CUST00783,2025-12-02,PROD0107,4,0.2,23.61,Mobile App,Debit Card,Pending,South
ORD000236,CUST00734,2026-07-23,PROD0112,5,0.2,16.04,Mobile App,Credit Card,Delivered,West
ORD000237,CUST01065,2026-07-02,PROD0043,3,0.1,16.79,Mobile App,Net Banking,Cancelled,East
ORD000238,CUST01587,2026-07-12,PROD0042,2,0.3,15.81,Mobile App,COD,Delivered,West
ORD000239,CUST00988,2025-09-08,PROD0017,2,0.3,4.97,Mobile App,Net Banking,Delivered,East
ORD000240,CUST01200,2025-12-04,PROD0051,6,0.15,10.46,Online,Net Banking,Delivered,South
ORD000241,CUST01360,12-27-2025,PROD0120,1,0.15,18.77,Mobile App,COD,Delivered,East
ORD000242,CUST01324,2026-02-14,PROD0002,4,0.1,2.53,Online,Debit Card,Cancelled,South
ORD000243,CUST01241,2025-11-18,PROD0090,5,0.0,6.95,Mobile App,COD,Delivered,West
ORD000244,CUST00740,2025-07-21,PROD0056,-1,0.0,6.91,Online,Debit Card,Delivered,East
ORD000245,CUST01558,2026-05-28,PROD0011,6,0.0,10.8,Mobile App,Debit Card,Delivered,South
ORD000246,CUST01945,2026-04-02,PROD0076,2,0.25,24.51,Online,COD,Cancelled,North
ORD000247,CUST00657,2026-01-31,PROD0052,5,0.25,1.69,In-Store,COD,Delivered,West
ORD000248,CUST01452,2025-07-29,PROD0068,4,0.2,12.97,Mobile App,UPI,Delivered,East
ORD000249,CUST00872,2025-10-25,PROD0085,2,0.0,4.48,Online,Debit Card,Delivered,South
ORD000250,CUST00191,2025-10-10,PROD0056,1,0.1,24.27,In-Store,Debit Card,Returned,North
ORD000251,CUST00951,2026-01-16,PROD0061,3,0.05,2.83,Mobile App,COD,Delivered,West
ORD000252,CUST01238,2026-02-01,PROD0038,1,0.05,10.09,Online,Net Banking,Pending,East
ORD000253,CUST01128,2026-02-05,PROD0057,4,0.15,18.45,Online,Credit Card,Cancelled,West
ORD000254,CUST00346,2026-05-14,PROD0037,2,0.0,17.61,Mobile App,Debit Card,Delivered,East
ORD000255,CUST01600,2026-07-31,PROD0043,4,0.1,10.57,Online,Net Banking,Cancelled,East
ORD000256,CUST00758,2026-02-15,PROD0096,1,0.1,8.66,Online,COD,Cancelled,South
ORD000257,CUST01057,2026-01-31,PROD0056,1,0.25,9.94,Mobile App,Wallet,Delivered,North
ORD000258,CUST00641,2025-07-02,PROD0062,2,0.15,6.61,Mobile App,UPI,Delivered,West
ORD000259,CUST00067,2026-07-07,PROD0075,3,0.0,5.13,Online,COD,Delivered,East
ORD000260,CUST00602,2026-06-10,PROD0029,3,0.2,12.08,In-Store,Net Banking,Pending,East
ORD000261,CUST01542,2025-11-19,PROD0058,1,0.2,6.71,Mobile App,UPI,Returned,East
ORD000262,CUST00828,2026-01-29,PROD0071,2,0.2,7.19,Online,UPI,Delivered,North
ORD000263,CUST00306,2026-03-23,PROD0058,5,0.0,16.42,In-Store,Wallet,Delivered,North
ORD000264,CUST01716,2025-07-06,PROD0072,3,0.25,24.21,In-Store,Credit Card,Delivered,South
ORD000265,CUST00508,2026-01-03,PROD0057,4,0.0,15.09,In-Store,COD,Delivered,South
ORD000266,CUST00829,0000-00-00,PROD0061,4,0.05,,Mobile App,Credit Card,Delivered,South
ORD000267,CUST01316,2025-10-02,PROD0036,4,0.25,1.89,Online,Net Banking,Delivered,West
ORD000268,CUST01385,2026-03-18,PROD0077,4,0.3,23.79,Online,COD,Delivered,South
ORD000269,CUST01421,2026-04-20,PROD0080,3,0.0,7.43,Mobile App,COD,Pending,North
